X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2019/04/28 13:03:46+00,14.51,15.26,15.7,15.78,11.73,11.98,10.23,72,45,1001.03,Chapel Hill Public Library,outside,35.932522,-79.035728,190,-80,,1,6117
-79.035728,35.932522,2019/06/14 10:05:23+00,6.49,6.39,6.39,6.95,7.12,8.68,14.23,63,57,1006.27,Chapel Hill Public Library,outside,35.932522,-79.035728,3477,-81,0,,6118
-79.035728,35.932522,2019/05/02 00:04:18+00,18.96,19.34,22.37,22.25,23.17,19.62,12.33,85,48,1009.93,Chapel Hill Public Library,outside,35.932522,-79.035728,1230,-83,,0,6119
-79.035728,35.932522,2019/06/20 15:03:45+00,21.79,21.09,18.05,16.05,12.52,13.06,14.2,97,45,994.48,Chapel Hill Public Library,outside,35.932522,-79.035728,6612,-87,1,,6120
-79.035728,35.932522,2019/06/25 05:02:27+00,5.03,10.18,15.84,17.16,18.02,15.79,14.44,85,58,998.84,Chapel Hill Public Library,outside,35.932522,-79.035728,20381,-80,2,,6121
-79.035728,35.932522,2019/06/25 05:02:27+00,5.03,10.18,15.84,17.16,18.02,15.79,14.44,85,58,998.84,Chapel Hill Public Library,outside,35.932522,-79.035728,20381,-80,2,,6122
-79.035728,35.932522,2019/06/25 05:02:27+00,5.03,10.18,15.84,17.16,18.02,15.79,14.44,85,58,998.84,Chapel Hill Public Library,outside,35.932522,-79.035728,20381,-80,2,,6123
-79.035728,35.932522,2019/06/25 06:02:38+00,3.99,5.19,10.21,13.5,17.27,15.63,14.42,84,58,998.36,Chapel Hill Public Library,outside,35.932522,-79.035728,23992,-85,2,,6124
-79.035728,35.932522,2019/06/25 06:02:38+00,3.99,5.19,10.21,13.5,17.27,15.63,14.42,84,58,998.36,Chapel Hill Public Library,outside,35.932522,-79.035728,23992,-85,2,,6125
-79.035728,35.932522,2019/06/25 06:02:38+00,3.99,5.19,10.21,13.5,17.27,15.63,14.42,84,58,998.36,Chapel Hill Public Library,outside,35.932522,-79.035728,23992,-85,2,,6126
-79.035728,35.932522,2019/06/25 07:02:31+00,3.64,4.23,6.54,10.02,16.29,15.41,14.39,81,58,996.07,Chapel Hill Public Library,outside,35.932522,-79.035728,27586,-80,2,,6127
-79.035728,35.932522,2019/05/05 22:04:58+00,3.4,3.07,3.57,4.62,7.19,11.08,11.98,82,59,992.72,Chapel Hill Public Library,outside,35.932522,-79.035728,1560,-77,,0,6128
-79.035728,35.932522,2019/06/25 23:03:38+00,10.28,9.39,7.88,6.93,10.46,13.62,14.14,96,43,1001.47,Chapel Hill Public Library,outside,35.932522,-79.035728,6046,-79,1,,6129
-79.035728,35.932522,2019/06/25 07:02:31+00,3.64,4.23,6.54,10.02,16.29,15.41,14.39,81,58,996.07,Chapel Hill Public Library,outside,35.932522,-79.035728,27586,-80,2,,6130
-79.035728,35.932522,2019/06/25 07:02:31+00,3.64,4.23,6.54,10.02,16.29,15.41,14.39,81,58,996.07,Chapel Hill Public Library,outside,35.932522,-79.035728,27586,-80,2,,6131
-79.035728,35.932522,2019/06/25 07:02:31+00,3.64,4.23,6.54,10.02,16.29,15.41,14.39,81,58,996.07,Chapel Hill Public Library,outside,35.932522,-79.035728,27586,-80,2,,6132
-79.035728,35.932522,2019/06/25 07:02:31+00,3.64,4.23,6.54,10.02,16.29,15.41,14.39,81,58,996.07,Chapel Hill Public Library,outside,35.932522,-79.035728,27586,-80,2,,6133
-79.035728,35.932522,2019/06/25 07:02:31+00,3.64,4.23,6.54,10.02,16.29,15.41,14.39,81,58,996.07,Chapel Hill Public Library,outside,35.932522,-79.035728,27586,-80,2,,6134
-79.035728,35.932522,2019/06/25 08:04:27+00,4.1,4.18,5.2,8.06,15.51,15.23,14.37,81,61,998.48,Chapel Hill Public Library,outside,35.932522,-79.035728,31301,-85,0,,6135
